,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
500022452,8000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,0,0,0,0,117.09,8490.75,1226.02,124.37,125.06,218.44,121.78,0
500064842,7000,1,4,2,31,-1,-1,-1,-1,-1,-1,0,228.1,16.24,0,53.43,53.63,7001.99,17,6491.24,1154,1555,35,0
500004023,35000,1,4,2,33,-1,-1,-1,-1,-1,-1,0,997.55,1011.36,0,1064.59,1090.1,19718.3,2712,700,1539,1100,1500,0
500037371,7000,2,4,2,30,-1,-1,-1,-1,-1,-1,0,17.49,328.99,344.77,320.86,291.18,NULL,7050.55,500,400,400,400,0
500091692,6000,1,4,2,40,-1,-1,-1,NULL,NULL,NULL,319.33,323.05,198.59,NULL,NULL,NULL,323.05,300,NULL,NULL,NULL,NULL,0
500105755,9000,1,4,2,35,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500004347,20000,2,4,2,46,-1,-1,-1,-1,-1,-1,0,18,447.06,464.6,497.34,524.87,18,7913.73,465,1000,800,530,0
500037603,7000,1,4,2,48,-1,-1,-1,-1,-1,-1,0,0,350.7,367.8,348.3,341.78,NULL,6955.1,368,350,342,310,0
500051421,7000,2,4,1,38,-1,-1,-1,-1,-1,-1,55.97,0,0,0,0,0,NULL,51.8,51.8,51.8,51.8,51.8,0
500065332,35000,1,4,2,33,-1,-1,-1,-1,-1,-1,0,0,0,0,16.13,0,35000,7.63,35000,35000,35000,34998.71,0
500065293,14000,2,4,1,36,-1,-1,-1,-1,-1,-1,0,0,629.1,651.74,658.21,598.55,NULL,12962.5,652,660,599,294.17,0
500065283,2000,2,4,2,49,-1,-1,-1,-1,-1,-1,68.76,60.47,60.94,25.85,27.24,16.49,461,461,425.85,604.3,317,516,0
500093074,14000,1,4,2,26,-1,-1,-1,NULL,NULL,NULL,658.46,415.37,0,NULL,NULL,NULL,1000,NULL,NULL,NULL,NULL,NULL,0
500105602,10000,2,4,2,44,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500004877,10500,2,4,2,27,-1,-1,-1,-1,-1,-1,0,0,152.56,298.11,385.57,435.26,NULL,2072.1,3000,2000,1200,500,0
500004997,35000,2,4,2,35,-1,-1,-1,-1,-1,-1,0,316.05,361.88,399.81,394.1,478.49,4765.95,900,900,395,1000,8000,0
500023085,35000,2,4,1,55,-1,-1,-1,-1,-1,-1,0,15.79,0,0,0,0,25040,25100,15000,13000,25200,13500,0
500023263,35000,1,4,1,54,-1,-1,-1,-1,-1,-1,206.79,756.87,428.15,144.24,19.75,667.21,757,12000,3945,10020,30612.17,NULL,0
500037913,21000,1,4,1,40,-1,-1,-1,-1,-1,-1,0,0,903,628.37,0,0,82.23,19906.15,629,50,194.52,81.31,0
500051915,21000,1,4,1,29,1,-1,-1,-1,-1,-1,138.3,67.06,870.32,897.46,849.66,1045.6,NULL,19298.16,900,850,1046,670,0
500051942,15000,1,4,2,37,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,64.68,60.52,60.52,60.52,60.52,120.98,0
500051816,32000,1,4,2,35,1,-1,-1,-1,-1,-1,170.36,84.7,18.42,1507.43,1485.55,1474.65,NULL,19,35508,1486,1475,1412,0
500065597,14000,2,4,2,25,-1,-1,-1,-1,-1,-1,0,0,186.49,666.72,541.08,299.58,NULL,186.49,13642.48,542,300,120,0
500080213,14000,1,4,2,26,-1,-1,-1,-1,-1,NULL,62.88,59.29,59.36,59.43,0,NULL,60,59.5,59.5,NULL,NULL,NULL,0
500093063,35000,1,4,2,54,-1,-1,-1,NULL,NULL,NULL,0,419.17,0,NULL,NULL,NULL,15419.2,NULL,NULL,NULL,NULL,NULL,0
500092722,35000,1,4,2,38,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,88.11,35045,NULL,NULL,NULL,NULL,0
500105452,14000,2,4,1,47,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500105442,14000,1,4,2,29,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500105432,35000,1,4,2,43,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500105412,35000,1,4,1,60,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500005024,35000,1,4,1,66,-1,-1,-1,7,6,5,0,0,44.17,459.95,408.24,356.82,NULL,44.17,807.03,NULL,NULL,NULL,0
500006077,10500,1,4,1,55,-1,-1,-1,-1,-1,-1,0,0,444.43,462.78,470.37,483.59,NULL,8227.65,480,480,490,540,0
500006142,9000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,0,334.58,349.81,362.08,361.67,NULL,6204.46,400,500,362,400,0
500023742,35000,1,4,2,39,-1,-1,-1,-1,-1,-1,0,0,443.54,554.4,942.16,632,NULL,10444,555,11943,635,157,0
500023997,2800,1,4,2,29,-1,-1,-1,-1,-1,-1,0,0,134.56,0,0,0,NULL,3066.29,200,200,139.97,436.23,0
500038902,20000,1,4,2,47,-1,-1,-1,-1,-1,-1,0,0,82.06,141.03,156.75,173.04,NULL,NULL,1672.77,500,500,500,0
500051272,30000,2,4,2,38,-1,-1,-1,-1,-1,-1,80.16,75.13,76.26,76.39,76.52,76.65,76,78,77,77,77,77,0
500052052,35000,2,4,2,47,-1,2,1,-1,-1,-1,0,35799.57,35799.57,1643.41,1614.71,1610.25,35799.57,NULL,NULL,1615,2000,2000,0
500052534,21000,1,4,2,22,-1,-1,-1,-1,-1,-1,201.64,850.12,875.55,911.88,924.91,951.93,17893.8,1000,1000,1000,1000,700,0
500065682,10500,2,4,2,43,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0
500066127,12000,1,4,2,33,-1,-1,-1,-1,-1,-1,0,0,537.14,545.34,557.21,562.45,NULL,10888.28,550,700,565,332,0
500079993,35000,1,4,2,48,-1,-1,1,-1,-1,NULL,51.62,0,106.32,53.15,0,NULL,NULL,107,54,NULL,NULL,NULL,0
500079883,21000,2,4,1,43,-1,-1,1,-1,-1,NULL,70.44,66.21,134.14,67.06,0,NULL,67,135,NULL,NULL,NULL,NULL,0
500079857,5000,2,4,2,66,-1,-1,-1,-1,-1,NULL,0,0,257.73,179.58,0,NULL,NULL,260,5180,NULL,NULL,NULL,0
500079724,21000,1,4,3,52,-1,-1,-1,-1,-1,NULL,0,0,0,598.77,0,NULL,NULL,65,21598.77,NULL,NULL,NULL,0
500079637,10000,1,4,2,44,-1,-1,-1,-1,-1,NULL,495.77,261.32,281.8,16,0,NULL,262,282,9016,10000,NULL,NULL,0
500092642,34000,1,4,2,23,-1,-1,-1,NULL,NULL,NULL,1532.9,939.35,0,NULL,NULL,NULL,940,NULL,NULL,NULL,NULL,NULL,0
500092604,2000,1,4,1,52,-1,-1,-1,NULL,NULL,NULL,5.06,98.59,0,NULL,NULL,NULL,2098.59,NULL,NULL,NULL,NULL,NULL,0
500092453,14000,1,4,2,27,-1,-1,-1,NULL,NULL,NULL,16.31,28.61,0,NULL,NULL,NULL,8359.43,14000,NULL,NULL,NULL,NULL,0
500092252,35000,2,4,1,55,-1,-1,-1,NULL,NULL,NULL,0,44.17,0,NULL,NULL,NULL,132,NULL,NULL,NULL,NULL,NULL,0
500092174,14000,1,4,1,31,-1,-1,-1,NULL,NULL,NULL,683.9,415.37,0,NULL,NULL,NULL,415.37,NULL,NULL,NULL,NULL,NULL,0
500092143,14000,1,4,2,25,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,563.59,59.43,NULL,NULL,NULL,NULL,0
500095111,35000,2,4,2,50,-1,-1,-1,NULL,NULL,NULL,89.45,16.68,0,NULL,NULL,NULL,17,35000,NULL,NULL,NULL,NULL,0
500095053,14000,1,4,1,40,-1,-1,-1,NULL,NULL,NULL,0,59.43,0,NULL,NULL,NULL,124,NULL,NULL,NULL,NULL,NULL,0
500106061,35000,2,4,2,34,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500105892,35000,2,4,2,49,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500105872,7000,1,4,2,33,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106511,7000,1,4,2,31,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,0
500106414,10000,1,4,2,32,-1,NULL,NULL,NULL,NULL,NULL,48.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106343,35000,1,4,2,25,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500107002,21000,2,4,2,47,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500106972,21000,1,4,2,33,-1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500006297,7000,1,4,2,29,-1,-1,-1,-1,-1,-1,0,0,182.07,374.78,372.79,370.4,NULL,2685.81,4000,380,371,370,0
500006387,5000,1,4,2,47,-1,-1,-1,1,-1,-1,0,289.91,298.53,203.21,300.45,0,4967.7,300,505,300,NULL,685,0
500006678,10000,2,4,2,23,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,NULL,NULL,550,1100,550,NULL,0
500007022,15000,1,4,2,28,-1,-1,-1,-1,-1,-1,0,0,667.07,694.32,705.4,725.45,NULL,12484.61,695,706,726,718.42,0
500007492,14000,1,4,2,47,-1,-1,-1,-1,-1,1,0,0,0,0,0,12.83,NULL,NULL,NULL,NULL,NULL,NULL,0
500007444,35000,2,4,1,47,-1,-1,-1,-1,-1,-1,0,0,708.5,736.25,747.52,767.95,NULL,12760.79,736.25,747.52,767.95,770.28,0
500024436,12000,1,4,2,20,-1,-1,-1,-1,-1,-1,0,0,566.45,577.54,520.95,517.26,NULL,12574.69,578,521,600,516,0
500024422,28000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,0,1285.94,1297.95,1191.43,1179.2,NULL,29262.12,1298,1192,1180,1152,0
500024355,35000,1,4,2,50,-1,-1,-1,-1,-1,-1,16.83,472.22,16.82,85.69,83.44,56.19,19943,17,1585,85,60,142,0
500024662,20000,1,4,2,34,-1,-1,-1,-1,-1,-1,0,0,829.69,859.5,868.69,880.26,18714.25,1246.11,859.5,868.69,880.26,865.76,0
500024925,20000,2,4,2,25,-1,-1,-1,-1,-1,-1,0,0,754.87,784.38,794,813.16,NULL,16978.57,830,820,820,900,0
500024882,10000,1,4,2,40,-1,-1,-1,-1,-1,-1,0,0,443.62,444.83,449.44,450.35,NULL,10181.56,445,450,451,436.14,0
500025373,28000,1,4,1,34,-1,-1,-1,-1,-1,-1,25.67,1313.76,1313.75,1329.39,1300.96,1313.42,29308.74,1314,1330,1301,1313.42,1279,0
500025493,35000,1,4,1,53,1,-1,-1,-1,-1,-1,245.62,165.18,1404.52,1457.31,1350.17,1202.11,166,31876.71,1458,1350.2,1203,1200,0
500039616,14000,1,4,2,28,-1,-1,-1,-1,-1,-1,0,521.15,533.03,551.85,557.65,570.45,11113.58,534,552,558,571,570,0
500040002,35000,2,4,2,41,-1,-1,-1,-1,-1,-1,0,1494.88,1499.92,1550.39,1571.02,1611.33,35633.87,1500,1551,1572,1612,1533,0
500053032,21750,1,4,2,35,-1,-1,-1,-1,-1,-1,0,933.41,896.14,840.67,849.76,869.82,20789.67,897,840.7,850,870,1360,0
500053345,21000,1,4,2,31,-1,-1,-1,-1,-1,-1,96.75,585.16,924.09,0,83.63,627.44,13080.3,10000,1000,680,3705.94,12000,0
500053324,14000,1,4,1,29,-1,-1,-1,-1,-1,-1,0,672.93,708.91,659.02,620.23,634.32,13973.54,710,660,620.23,634.32,632.07,0
500053525,35000,1,4,2,37,-1,-1,-1,-1,-1,-1,0,1617.18,1621.6,1642.31,1610.38,1615.95,49800,1630,1643,1615,1620,1510,0
500053673,14000,2,4,2,20,-1,-1,-1,-1,-1,-1,0,687.25,630.75,635.18,641.54,651.69,14333.85,631,636,642,652,638,0
500066942,5000,1,4,2,49,-1,-1,-1,-1,-1,-1,0,79,112.74,152.19,190.93,226.78,809.64,1000,1000,1000,1000,900,0
500066892,10000,2,4,2,32,-1,-1,-1,-1,-1,-1,0,448.66,460.54,477.08,481.74,310.58,9374.15,500,480,482,400,NULL,0
500067712,14000,1,4,2,30,-1,-1,1,-1,-1,-1,0,0,750.35,392.77,0,51.11,14000,14752,NULL,NULL,14052,12600,0
500067664,3000,2,4,2,39,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0
