,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,21000,1,4,2,27,-1,-1,-1,-1,0,0,66.18,66.12,67.06,0,0,0,67,68,0,0,0,0,0
2,35000,1,4,1,42,-1,-1,-1,-1,-1,-1,0,12.13,68.33,16.68,81.49,44.17,33094.45,4218.4,5017,2081.5,45,0,0
3,15000,1,4,2,52,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,780,780,956.5,780,780,780,0
4,5000,2,4,2,27,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3828.57,187.49,192.94,143.88,3015.64,35,0
5,2000,1,4,2,23,-1,-1,-1,-1,0,0,46.23,45.88,45.53,44.17,0,0,46,46,45,0,0,0,0
6,35000,2,4,2,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15000,1,4,2,31,-1,-1,-1,-1,-1,-1,692.65,733.97,744.13,734.3,734.86,703.06,15677.25,746,735,735,705,698,0
8,6000,1,4,2,33,-1,-1,-1,-1,0,0,61.71,61.71,61.71,0,0,0,61.71,61.71,0,0,0,0,0
9,35000,1,4,2,41,-1,-1,-1,-1,0,0,0,96.44,16.96,0,0,0,167.93,20,7000,0,0,0,0
10,35000,2,4,2,37,-1,-1,0,0,0,0,1532.61,923.59,0,0,0,0,924,0,0,0,0,0,0
11,5100,1,4,3,32,-1,-1,0,0,0,0,0,0,0,0,0,0,2305.56,0,0,0,0,0,0
12,26000,1,4,2,29,-1,-1,0,0,0,0,0,0,0,0,0,0,72.51,44.17,0,0,0,0,0
13,14000,1,4,2,32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2000,2,4,2,47,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17500,1,4,2,32,-1,1,-1,1,-1,-1,70.62,142.39,0,215.15,143.92,661.42,143,0,215.2,0,14584,720,0
16,35000,1,4,1,59,-1,-1,1,-1,1,-1,0,0,1672.26,1150.24,1769.72,1222.48,24098.75,2795.67,0,3400,0,1000,0
17,35000,1,4,2,42,-1,-1,-1,-1,-1,-1,78.24,78.32,78.4,78.45,78.53,78.58,79,78.4,79,79,80,80,0
18,21000,1,4,2,57,-1,-1,-1,-1,-1,-1,928.74,885.93,757.75,755.16,753.7,724.52,886,758,756,754,725,0,0
19,14000,2,4,2,38,-1,-1,-1,-1,-1,-1,0,617.53,638.33,643.83,662.28,606.35,13224.7,660,680,690,650,752,0
20,2000,2,4,1,50,-1,1,-1,-1,-1,-1,56.29,112.28,55.26,0,56.24,0,113,0,0,115,0,114,0
21,7000,2,4,2,51,-1,-1,-1,-1,-1,-1,0,173.58,0,0,162.76,201.8,7174,700,7600,7163,6202,0,0
22,14000,2,4,2,33,-1,-1,-1,-1,-1,-1,0,646.84,0,667.11,0,0,14010.4,0,1347,680,1312.27,398.59,0
23,2000,1,4,1,30,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,37.18,37.18,37.18,37.18,37.18,35,0
24,4000,2,4,2,34,-1,-1,0,0,0,0,75.51,0,0,0,0,0,0,0,0,0,0,0,0
25,9800,2,4,2,26,-1,-1,0,0,0,0,471.44,281.67,0,0,0,0,281.67,0,0,0,0,0,0
26,15000,1,4,2,38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,35000,1,4,1,47,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,35000,1,4,1,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,15000,2,4,2,21,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,21000,1,4,2,46,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7000,2,4,2,29,-1,-1,-1,-1,-1,-1,10.59,0,0,0,53.24,0,40,50.59,50.59,164.84,100,207.48,0
32,5000,2,4,2,45,-1,-1,-1,-1,-1,-1,0,104.35,80.34,80.61,81.17,0,3729.37,85,81,82,0,81.11,0
33,35000,2,4,1,35,-1,-1,-1,-1,-1,-1,81.53,82.21,81.89,81.57,59.25,76.93,83,82,82,60,100,70,0
34,12000,1,4,2,28,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,10106.1,430.14,444.29,449.99,460.29,461.47,0
35,15000,2,4,2,26,-1,-1,-1,-1,-1,-1,0,413.2,704.07,0,713.07,0,10544.33,8600,200,1096,0,965,0
36,22000,2,4,3,51,-1,-1,-1,-1,-1,-1,79.16,90.15,0,158.96,0,0,90.15,0,249.11,10288,13876.78,15589.39,0
37,7000,1,4,2,56,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,51.8,51.8,51.8,51.8,51.8,44.17,0
38,10000,2,4,2,29,-1,-1,1,-1,1,-1,0,476.5,713.3,468.68,495.27,251.98,9785.22,715,0,796,0,550,0
39,14000,1,4,2,43,-1,-1,-1,-1,-1,-1,0,59.44,58.87,59.43,653.4,398.59,59.5,58.87,60,13765.78,600,0,0
40,3000,2,4,3,33,-1,-1,-1,-1,-1,-1,47.4,47.44,46.49,47.05,46.61,44.17,47.48,46.49,48,47,45,0,0
41,14000,2,4,1,56,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7000,1,4,1,32,-1,-1,-1,-1,0,0,0,0,0,0,0,0,51.8,51.8,51.8,0,0,0,0
43,21000,1,4,1,38,-1,-1,0,0,0,0,971.37,573.59,0,0,0,0,573.59,0,0,0,0,0,0
44,21000,2,4,1,42,1,-1,0,0,0,0,1046.57,573.59,0,0,0,0,0,0,0,0,0,0,0
45,12000,1,4,2,32,-1,-1,0,0,0,0,621.69,348.59,0,0,0,0,349,0,0,0,0,0,0
46,35000,1,4,2,35,-1,-1,0,0,0,0,0,0,0,0,0,0,35016.45,0,0,0,0,0,0
47,14000,2,4,1,48,-1,-1,0,0,0,0,662.28,398.59,0,0,0,0,399,0,0,0,0,0,0
48,14000,2,4,2,40,-1,-1,0,0,0,0,662.28,398.59,0,0,0,0,399,0,0,0,0,0,0
49,35000,1,4,2,40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,28000,1,4,2,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3500,1,4,2,39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,30000,1,4,2,27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3500,2,4,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,7000,1,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7000,2,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,8000,1,4,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,7000,2,4,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5000,2,4,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,14000,1,4,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,17500,2,4,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,10500,2,4,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,23800,2,4,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
