Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,STEM_subjects,H_subjects,Dropout
LOCAL,1,Single,37,LOCAL,LOCAL,2,UNSPECIFIED,1500000,PRIMARY SCHOOL,PRIMARY SCHOOL,44,39,NO
LOCAL,2,Single,38,LOCAL,LOCAL,2,UNSPECIFIED,4500000,HIGH SCHOOL,HIGH SCHOOL,43,45.2,YES
LOCAL,4,Married,37,FOREIGN,FOREIGN,2,UNSPECIFIED,10500000,UNDERGRADUATE,TECHNOLOGIST,42.5,44.8,YES
LOCAL,3,Married,38,LOCAL,LOCAL,2,UNSPECIFIED,4000000,TECHNOLOGIST,HIGH SCHOOL,46.2,47.8,NO
LOCAL,2,Single,34,LOCAL,LOCAL,2,UNSPECIFIED,4320000,PRIMARY SCHOOL,HIGH SCHOOL,50,50,NO
LOCAL,3,Single,40,LOCAL,NEIGHBOR,2,UNSPECIFIED,8000000,UNDERGRADUATE,PRIMARY SCHOOL,52.3,49.5,NO
LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,5000000,HIGH SCHOOL,TECHNOLOGIST,45.9,42.1,YES
LOCAL,3,Single,30,NEIGHBOR,FOREIGN,2,UNSPECIFIED,500000,UNDERGRADUATE,UNDERGRADUATE,53.3,41.2,YES
LOCAL,3,Single,31,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,HIGH SCHOOL,42.6,41.2,YES
LOCAL,3,Single,30,LOCAL,LOCAL,2,UNSPECIFIED,850000,UNDERGRADUATE,HIGH SCHOOL,43.3,45.2,YES
LOCAL,3,Single,30,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,HIGH SCHOOL,45.3,47.8,YES
LOCAL,6,Single,30,LOCAL,NEIGHBOR,2,UNSPECIFIED,1500000,TECHNICAL,TECHNICAL,49.3,43.8,NO
LOCAL,3,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,55,48,NO
LOCAL,2,Single,10,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,44,42.1,YES
LOCAL,4,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,HIGH SCHOOL,UNDERGRADUATE,42.9,39.7,NO
LOCAL,4,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,54,48.2,NO
LOCAL,1,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,800000,PRIMARY SCHOOL,HIGH SCHOOL,46.1,50.1,NO
LOCAL,4,Single,28,NEIGHBOR,FOREIGN,2,UNSPECIFIED,5500000,UNDERGRADUATE,UNDERGRADUATE,46.6,49.6,YES
LOCAL,2,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,HIGH SCHOOL,51.8,55.4,NO
LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,58,56,NO
LOCAL,2,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,400000,HIGH SCHOOL,HIGH SCHOOL,56.2,50.2,YES
